num,Name,Address,Postcode,Type,Latitude,Longitude,Category,Rating
203,Arriba Arriba Midtown,762 9th Ave,10019,mexican,40.76412881,-73.98828506,restaurant,3.5
204,Arthur Ave Fiasco,2376 Arthur Ave,10458,pizza,40.854825,-73.887862,restaurant,4
205,Artichoke Basille's Pizza,22-56 31st St,11105,pizza,40.7751406,-73.9124042,restaurant,4.5
206,Artichoke Basille's Pizza,321 E 14th St,10003,pizza,40.73211246,-73.98390568,restaurant,3.5
207,Artichoke Basille's Pizza,114 10th Ave,10011,pizza,40.74402393,-74.00642203,restaurant,4
208,Artistic Pizza,123 W 3rd St,10012,healthy,40.73069,-74.00044,restaurant,5
209,Artopolis,23-18 31st St,11105,dessert,40.7740898,-73.9137878,restaurant,4
210,Arturo's,1617 York Ave,10028,italian,40.775478,-73.947847,restaurant,4
211,Arturo's Pizza,1610 York Ave,10028,pizza,40.77528,-73.94737,restaurant,4
212,Artuso Pastry Shop,670 E 187th St,10458,dessert,40.85416,-73.885124,restaurant,3.5
213,Arunee Thai,78-23 37th Ave,11372,thai,40.7494503,-73.8873621,restaurant,4
214,Asha Indian Food,151 E 103rd St,10029,indian,40.7902707,-73.9473015,restaurant,3.5
215,Ashbox,1154 Manhattan Ave,11222,japanese,40.738267,-73.955158,restaurant,4
216,Ashland,156 Tillary St,11201,brunch,40.6958,-73.98378,restaurant,4.5
217,Ashoka Grill,1436 Flatbush Ave,11210,indian,40.6356477,-73.9508667,restaurant,4.5
218,Ashoka Indian Restaurant,489 Columbus Ave,10024,indian,40.78477,-73.973027,restaurant,3
219,Ashoka on 2nd Avenue,1718 2nd Ave,10128,indian,40.7798555,-73.9500904,restaurant,4
220,Asia Express,493 2nd Ave,10016,chinese,40.74094,-73.97891,restaurant,4
221,Asia Market,71 1/2 Mulberry St,10013,vietnamese,40.71625569,-73.99927087,restaurant,4.5
222,Asiam Thai Cuisine,259 1st Ave,10003,thai,40.7322388,-73.9822769,restaurant,4.5
223,Asian Gourmet,57-11 Main St,11355,vietnamese,40.7461675,-73.8261072,restaurant,4
224,Asian Taste,199 E 3rd St,10009,chinese,40.72287957,-73.98299118,restaurant,4.5
225,Astoria Bier and Cheese,34-14 Broadway,11106,vietnamese,40.76041,-73.92264,restaurant,4.5
226,Astoria Craft,1801 26th Rd,11102,american,40.77332,-73.92715,restaurant,4
227,Astoria Pizza Factory,1946 37th St,11105,pizza,40.7786345,-73.90264851,restaurant,4
228,Astoria Seafood,37-10 33rd St,11101,seafood,40.754,-73.9298699,restaurant,4
229,Astoria Seafood and Grill,25-79 Steinway St,11103,seafood,40.76586,-73.91304,restaurant,4
230,Asuka Sushi,300 W 23rd St,10011,thai,40.74529,-73.99888,restaurant,3.5
231,Asya Indian Restaurant,46 Henry St,11201,indian,40.69963,-73.9921,restaurant,4
232,At Nine Restaurant & Bar,592 9th Ave,10036,vietnamese,40.758697,-73.992064,restaurant,4.5
233,At the Wallace,3612 Broadway,10031,brunch,40.8286496,-73.94858322,restaurant,4
234,Atera,77 Worth St,10013,american,40.71694,-74.0057,restaurant,4
235,Athens Grill & Sports Bar,3011 30th Ave,11102,mexican,40.76718084,-73.92186485,restaurant,4
236,Atla,372 Lafayette St,10012,mexican,40.7271874,-73.9938924,restaurant,4
237,Atlantic Grill,49 W 64th St,10023,seafood,40.77207662,-73.98145484,restaurant,5
238,Atoboy,43 E 28th St,10016,korean,40.74364,-73.98456,restaurant,3.5
239,Atomix,104 E 30th St,10016,korean,40.74421,-73.98286,restaurant,3.5
240,Atrium Dumbo,15 Main St,11201,brunch,40.7033899,-73.9904923,restaurant,4.5
241,Attaboy,134 Eldridge St,10002,american,40.7188874,-73.9913351,restaurant,4
242,Attraversa West Village,14 Bedford St,10014,italian,40.72900586,-74.00331282,restaurant,3.5
243,Au Cheval Diner,33 Cortlandt Aly,10013,american,40.7183878,-74.0015522,restaurant,3.5
244,Au Jus,1762 1st Ave,10128,healthy,40.78038568,-73.94670666,restaurant,4.5
245,Au Jus,1569 Lexington Ave,10029,healthy,40.7887067,-73.94878215,restaurant,4.5
246,Aubergine Cafe,49-22 Skillman Ave,11377,healthy,40.74605342,-73.91444071,restaurant,3
247,August Gatherings,266 Canal St,10013,chinese,40.7186556,-74.0011004,restaurant,5
248,Augustine,5 Beekman St,10038,dessert,40.71141,-74.006814,restaurant,4
249,Aunt Jake's,149 Mulberry St,10013,italian,40.7190315,-73.9977161,restaurant,4.5
250,Aunt Jake's,47 W 8th St,10011,italian,40.73329,-73.99852,restaurant,4
251,Auntie Guan's Kitchen,219 E 23rd St,10011,chinese,40.73852,-73.98201,restaurant,4
252,Auntie Guan's Kitchen 108,108 W 14th St,10011,vietnamese,40.73772135,-73.99741485,restaurant,5
253,Aurora,70 Grand St,11249,italian,40.715621,-73.964757,restaurant,4.5
254,Aurora Ristorante,60 Purchase St,10580,pizza,40.9837989,-73.684689,restaurant,4
255,Aurora Soho,510 Broome St,10013,italian,40.723543,-74.003199,restaurant,4
256,Aux Epices,121 Baxter St,10013,vietnamese,40.71810736,-73.99910254,restaurant,4
257,Aux Merveilleux De Fred,37 8th Ave,10014,dessert,40.738362,-74.004134,restaurant,3
258,Avant Garden,130 E 7th St,10009,healthy,40.7261499,-73.98402,restaurant,4
259,Avena Downtown,260 6th Ave,10014,italian,40.7289,-74.00216,restaurant,4
260,Avocaderia,55 Water St,11201,healthy,40.70332978,-73.99219981,restaurant,5
261,Avocaderia,269 11th Ave,10001,healthy,40.7518801,-74.005134,restaurant,4
262,Avocaderia,254 36th St,11232,healthy,40.65602,-74.00742,restaurant,4
263,Avra Estiatorio,141 E 48th St,10017,seafood,40.75513,-73.97245,restaurant,4
264,Awadh,2588 Broadway,10025,indian,40.79583,-73.970716,restaurant,4
265,Aya Sushi,314 W 39th St,10018,japanese,40.75561,-73.99207,restaurant,4
266,Ayada Thai,7708 Woodside Ave,11373,thai,40.74336624,-73.88760376,restaurant,4
267,Ayada Thai - Chelsea Market,75 9th Ave,10011,thai,40.74222,-74.00466,restaurant,4
268,Ayurveda Cafe,706 Amsterdam Ave,10025,healthy,40.79305,-73.97132,restaurant,4
269,Ayurvedic plate,1616 Cortelyou Rd,11226,indian,40.6416869,-73.9629945,restaurant,4
270,Ayza Wine & Chocolate Bar,11 W 31st St,10001,dessert,40.74717747,-73.98701131,restaurant,4.5
271,Azasu,49 Clinton St,10002,japanese,40.719758,-73.985011,restaurant,4
272,Azteca Restaurant,40-12 Queens Blvd,11104,mexican,40.743449,-73.9237466,restaurant,3.5
273,Azumma,265 Canal St,10013,korean,40.71897,-74.00102,restaurant,4.5
274,B Cafe East,240 E 75th St,10021,brunch,40.7709199,-73.95759,restaurant,4
275,B Flat,277 Church St,10013,japanese,40.71856441,-74.00484344,restaurant,4
276,B Side Pizza & Wine Bar,370 W 51st St,10019,italian,40.76394,-73.9883399,restaurant,4
277,B Squared,679 9th Ave,10036,italian,40.7615509,-73.9906616,restaurant,4
278,B.GOOD,141 Montague St,11201,healthy,40.694833,-73.9936578,restaurant,3.5
279,B2 Harlem,271 W 119th St,10026,seafood,40.80613,-73.95317,restaurant,3
280,BÃ¢tard,239 West Broadway,10013,american,40.7195533,-74.00579829,restaurant,4
281,BÃ€O Tea House,360 West 42nd St,10036,dessert,40.75814,-73.99234,restaurant,4
282,BÃ€O Tea House,140 West 4th St,10012,dessert,40.73124879,-74.00048896,restaurant,4.5
283,BÄng Bar,10 Columbus Cir,10019,korean,40.76847,-73.983092,restaurant,4.5
284,Baar Baar,13 E 1st St,10003,brunch,40.72443789,-73.9915524,restaurant,5
285,Baba Cool,64 Lafayette Ave,11217,healthy,40.68701,-73.97537,restaurant,5
286,Babbalucci,331 Lenox Ave,10027,italian,40.80894,-73.94496,restaurant,4
287,Babu Ji,22 E 13th St,10003,indian,40.73469,-73.99315,restaurant,4
288,Baby Bo's Cantina,627 2nd Ave,10016,mexican,40.74514,-73.97598,restaurant,4
289,Baby Olive,1402 86th St,11228,healthy,40.61246,-74.01177,restaurant,3.5
290,Bacaro,136 Division St,10002,italian,40.71456,-73.99154,restaurant,4.5
291,Bacchus Bistro & Wine Bar,409-411 Atlantic Ave,11217,american,40.68692,-73.98437,restaurant,4
292,Badshah,788 9th Ave,10019,indian,40.76483,-73.98756,restaurant,4.5
293,Bagel Emporium of Port Chester,211 Irving Ave,10573,mexican,41.00343323,-73.66680145,restaurant,4
294,Bagelberry,3113 30th Ave,11102,korean,40.766842,-73.921318,restaurant,4
295,Bai Sushi,37-03 Broadway,11103,japanese,40.7597841,-73.9202394,restaurant,4
296,Bait & Hook,231 2nd Ave,10003,seafood,40.73263,-73.985103,restaurant,4
